UserID,Rating,ReviewTime,Review,MealID
A2WOH395IHGS0T,5,1496177056,风味独特，真的不错！,B0040HNZTW
A32KHS0VN0N0HB,3,1496177108,有特色，也比较卫生,B006Z48TZS
A1YQ4Z5U9NIGP,5,1496177276,家常美味，推荐！,B00CDBTQCW
A3E5V5TSTAY3R9,4,1496179256,好吃,B00751IYQ4
A1V50CTTDJ73ZM,5,1496180009,不得不赞,B00C0OLT6S
A3GD8QRS50A6OB,5,1496180056,每周必点的一道菜,B006WC63X8
AK6G2ZYJVQ42D,5,1496180098,同事们都很喜欢,B0099JKR6U
A2FPYIU94BNC73,5,1496182040,性价比高,B0087YNHNI
A2WOH395IHGS0T,5,1496183065,有惊喜,B002A493NY
AM0LNXVIXZKKW,3,1496184000,味道一般,B002KGEORM
A1VOJC5KLSOWGY,5,1496184000,太美味了，强烈推荐！,B0045TGRSG
A2FPYIU94BNC73,3,1496184000,味道很正,B0073J5X58
AMXJDVI60YD39,5,1496184000,太美味了，强烈推荐！,B006Z48TZS
A33T3FTA07CBJW,4,1496184000,非常非常好吃,B0071E6J30
A37FUJC2L7DSPT,5,1496184000,太美味了，强烈推荐！,B00FWLG2MM
A1GH5XCC5D4VY9,5,1496184000,太美味了，强烈推荐！,B007JF83YY
A3GUNEINK3GRDV,5,1496184000,太美味了，强烈推荐！,B007JF83YY
A79TS2VPN9DWV,5,1496184000,太美味了，强烈推荐！,B007JF83YY
ALGUXW3P7JEL9,4,1496184000,非常非常好吃,B007VQLRGW
A1V50CTTDJ73ZM,5,1496184000,太美味了，强烈推荐！,B008QTTGGG
A1V50CTTDJ73ZM,5,1496184000,太美味了，强烈推荐！,B009FZFONO
A21I2ZUCY9S5ZX,5,1496184000,太美味了，强烈推荐！,B000OJFV3S
AM0LNXVIXZKKW,4,1496184000,非常非常好吃,B001F6ZIXC
A1VX5R7X7X7BQK,4,1496184000,非常非常好吃,B0025Z8G4K
A3HZGRD34E1ECB,4,1496184000,非常非常好吃,B002Y0TGOU
ABLBRUT8DALNN,5,1496184000,太美味了，强烈推荐！,B003VDX6MW
A3HU30P8YYXW1S,4,1496184000,非常非常好吃,B00ESNKDHA
AAD3KLMJH6VUI,5,1496184000,太美味了，强烈推荐！,B00ETKG8AI
A1V50CTTDJ73ZM,5,1496184000,太美味了，强烈推荐！,B008BQG3RE
A1ALCUX70AVFWB,4,1496184000,非常非常好吃,B00GLYM3QS
A2XIK5M8J6QAMU,5,1496184000,太美味了，强烈推荐！,B00F406S2U
A37IRE9GZ0CZ7I,5,1496184000,太美味了，强烈推荐！,B00F49E8O6
A1RPTVW5VEOSI,5,1496184000,太美味了，强烈推荐！,B00H8C57GA
A2WOH395IHGS0T,5,1496184000,太美味了，强烈推荐！,B003OURWUO
A1Y3NTL7XXIFQ8,5,1496184000,太美味了，强烈推荐！,B00BLBTEPY
A1YQ4Z5U9NIGP,5,1496184000,太美味了，强烈推荐！,B00BLCHYKU
A3HU30P8YYXW1S,5,1496184000,太美味了，强烈推荐！,B00BLCHYKU
A13N5BCT0EPLFE,5,1496184000,太美味了，强烈推荐！,B00EZJMKCI
A2XIK5M8J6QAMU,5,1496184000,太美味了，强烈推荐！,B00F3KFI4U
A2XIK5M8J6QAMU,5,1496184000,太美味了，强烈推荐！,B00FJ01MQC
A1UD6K77VYT36B,5,1496184000,太美味了，强烈推荐！,B00H8C57GA
A18B5QL328E02A,3,1496184000,味道很正,B00H8C57GA
A13MM7UES60AAU,5,1496184000,太美味了，强烈推荐！,B00APE00H4
A95880RI1T8JN,3,1496184000,味道很正,B00CDBR1P6
A3HU30P8YYXW1S,5,1496184000,太美味了，强烈推荐！,B00CDBR1P6
A1V50CTTDJ73ZM,5,1496184000,太美味了，强烈推荐！,B00DAHSVYC
AWIPRI88HVFRG,5,1496184000,太美味了，强烈推荐！,B00B8P8O9K
A3OAZI8FM972UC,5,1496184000,太美味了，强烈推荐！,B008BQ8VOC
A3RPLCEFOTTVO6,5,1496184000,太美味了，强烈推荐！,B00IKFSSTW
A2WS03A3HFMCI6,3,1496184000,有特色，卫生,B00JBHQ138
AAPT0IT4F8ABH,5,1496184000,太美味了，强烈推荐！,B00JFQ96F0
ANCOMAI0I7LVG,5,1496184000,太美味了，强烈推荐！,B00JH3S0AI
A19TN0NGGJQEUV,4,1496184000,很美味，推荐品尝,B00JIL4HLA
A1EIIGQBKKVDT0,5,1496184000,太美味了，强烈推荐！,B00K1WIN7O
A3E9755POMX4K8,5,1496184000,太美味了，强烈推荐！,B00L86ZKAK
A2Q7G5X907W02R,5,1496184000,太美味了，强烈推荐！,B00KBN95IE
AE6QVJOKKCGQ3,5,1496184000,太美味了，强烈推荐！,B00KBN95IE
A1C5L35YIKUX51,3,1496184000,有特色，卫生,B00KBN95IE
ANCKD5NB8KEYQ,3,1496184000,有特色，卫生,B00KKGS1KK
A26F0H4X95PSPN,3,1496184000,有特色，卫生,B00KKGS1KK
AE6QVJOKKCGQ3,5,1496184000,太美味了，强烈推荐！,B00KKGS1KK
A1C5L35YIKUX51,2,1496184000,基本OK,B00KKGS1KK
A2IK776FY6MEMG,5,1496184000,太美味了，强烈推荐！,B00KKGS1KK
A2JSWSWNO3MQH4,5,1496184000,太美味了，强烈推荐！,B00KPZIABG
A1WA032VVW2PC1,3,1496184000,有特色，卫生,B00KY50U74
A3B9FA6ITKNHNW,5,1496184000,太美味了，强烈推荐！,B00L33AF7G
A3QNUOPKRF94Y1,5,1496184000,太美味了，强烈推荐！,B00L86ZKAK
A1C5L35YIKUX51,2,1496184000,基本OK,B00L86ZKAK
A3LYFRATW68EX1,4,1496184000,很美味，推荐品尝,B00LCHENE4
A3U3RFL0XE4F7V,5,1496184000,太美味了，强烈推荐！,B00LM493J2
A3EI80IPS119LC,3,1496184000,有特色，卫生,B00F2C1RPS
ANYDQIA5YVBMM,5,1496184000,太美味了，强烈推荐！,B00IUX32OU
A2NR38N3QB3JJ2,5,1496184000,太美味了，强烈推荐！,B00JBNX59U
A2ELX9A8L2AHKW,5,1496184000,太美味了，强烈推荐！,B00LCHENE4
A3UBOD9N86350Y,4,1496184000,很美味，推荐品尝,B00CB6SU5I
A1F3NSLXFEG3C1,5,1496184000,太美味了，强烈推荐！,B004AZ5QG4
AU87252OMM1N2,4,1496184000,很美味，推荐品尝,B001QDKK3W
A2TJUMYVZI8WEE,4,1496184000,很美味，推荐品尝,B003BOWF64
A1SWXIWBKI78QI,3,1496184000,有特色，卫生,B0037NCNF2
A16OKHDK9YZKK8,5,1496184000,太美味了，强烈推荐！,B003NJJ3PS
AFV2584U13XP3,5,1496184000,太美味了，强烈推荐！,B009OYSFDM
A19TN0NGGJQEUV,4,1496184000,很美味，推荐品尝,B00HSEZ49I
AV0ZI7QJCHYG6,4,1496184000,很美味，推荐品尝,B00DKRXM7S
A317YJVO2SVPRA,5,1496184000,太美味了，强烈推荐！,B00HZKJK0Y
AE6QVJOKKCGQ3,5,1496184000,太美味了，强烈推荐！,B00I9AGNQS
AJNIACIPB2I5P,5,1496184000,太美味了，强烈推荐！,B00JH3S0AI
AT765ZH0OCYKF,4,1496184000,很美味，推荐品尝,B00JIL4HLA
A32Z83NM97LCEW,5,1496184000,太美味了，强烈推荐！,B00JMJOWXG
A1TUI07W2GO1HV,4,1496184000,很美味，推荐品尝,B007UMK3SA
A2MLZ4NWSGL5G7,5,1496184000,太美味了，强烈推荐！,B005544TRQ
A2JHEZH0VXU6EQ,3,1496184000,有特色，卫生,B005544TRQ
A1F3NSLXFEG3C1,5,1496184000,太美味了，强烈推荐！,B0056RKA1G
A398QSASJOIKA6,3,1496184000,有特色，卫生,B005K1MJ4E
